Rk,Gtm,Date,Loc,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
88,88,2019 07 06,@,ARI,"L,2-4",8,13,4,4,0,3,6,1,0,5.16,38,148,98,0,0,1,0,35,2,0,1,0,0,0,2,4,Bill Miller,"J.Gray (6-41-L), J.Diaz (2), J.McGee (3), C.Bettis (2)"
89,89,2019 07 07,@,ARI,"L,3-5",8,8,5,4,1,1,7,1,0,5.16,34,127,83,0,0,0,0,33,2,1,0,0,0,0,0,3,Doug Eddings,"G.Marquez (4-46-L), C.Estevez (1), S.Oberg (4)"
90,90,2019 07 12,x,CIN,"W,3-2",9,6,2,2,0,0,8,1,0,5.12,32,122,87,0,0,0,0,31,0,1,0,1,0,0,0,3,Eric Cooper,"J.Gray (5-67), J.Diaz (5-W), W.Davis (8-Sv)"
91,91,2019 07 13,x,CIN,"L,9-17",9,24,17,17,0,4,8,3,0,5.25,53,202,127,3,3,1,0,48,4,5,0,0,1,0,1,6,James Hoye,"K.Freeland (43-27), C.Bettis (6-L), J.Diaz (0), J.McGee (6), C.Estevez (5), 
B.Shaw (10)"
92,92,2019 07 14,x,CIN,"W,10-9",9,9,9,9,0,2,8,1,1,5.29,38,143,86,1,1,1,1,33,2,1,0,1,1,0,0,4,Jeremie Rehak,"A.Senzatela (8-24-W), J.Tinoco (8-H), S.Oberg (6-H), W.Davis (1-Sv)"
93,93,2019 07 15,x,SFG,"L,2-19",9,21,19,18,1,3,5,4,1,5.43,52,199,117,2,1,0,0,46,6,0,0,2,0,1,1,4,David Rackley,"G.Marquez (7--5-L), J.Tinoco (0), Y.Almonte (52), M.Reynolds (99)"
94,94,2019 07 15,x,SFG,"L,1-2",9,6,2,2,0,3,9,2,0,5.39,35,145,96,2,0,0,0,32,1,0,0,0,0,0,1,4,Dan Bellino,"C.Gonzalez (14-50-L), C.Estevez (1), B.Shaw (1), J.Diaz (1)"
95,95,2019 07 16,x,SFG,"L,4-8",10,14,8,7,1,3,6,1,0,5.4,44,173,104,3,2,0,1,41,2,0,0,0,0,1,3,7,Chad Whitson,"P.Lambert (12-55), J.McGee (2), J.Diaz (0), S.Oberg (1), C.Bettis (2), 
W.Davis (1-L), B.Shaw (0)"
96,96,2019 07 17,x,SFG,"L,8-11",9,18,11,9,2,3,8,2,0,5.44,48,167,108,3,0,0,0,44,6,0,0,1,0,1,1,5,Larry Vanover,"J.Gray (4-22-L), B.Shaw (0), C.Estevez (1), C.Bettis (0), J.McGee (0)"
97,97,2019 07 19,@,NYY,"L,2-8",8,12,8,8,0,4,8,2,0,5.47,40,168,99,0,0,1,0,36,1,0,0,0,0,0,1,4,Doug Eddings,"K.Freeland (5-33-L), Y.Almonte (3), J.McGee (1), J.Diaz (2)"
